clip_id,audio_seconds,latency_ms,status,route,bytes,error
1089-134686-0000.flac,10.435,158.3399772644043,200,HOT,771,
1089-134686-0001.flac,3.275,494.9002265930176,200,HOT,416,
1089-134686-0002.flac,6.625,943.7601566314697,200,HOT,555,
1089-134686-0003.flac,2.68,384.09972190856934,200,HOT,358,
1089-134686-0004.flac,5.2150625,278.0327796936035,200,HOT,642,
1089-134686-0005.flac,9.635,707.9410552978516,200,HOT,663,
1089-134686-0006.flac,10.555,836.6942405700684,200,HOT,660,
1089-134686-0007.flac,4.275,592.3480987548828,200,HOT,403,
1089-134686-0008.flac,6.73,1286.097526550293,200,HOT,516,
1089-134686-0009.flac,10.575,1414.5734310150146,200,HOT,669,
1089-134686-0010.flac,4.405,1046.8623638153076,200,HOT,417,
1089-134686-0011.flac,12.445,1772.2625732421875,200,HOT,865,
1089-134686-0012.flac,11.64,1177.2997379302979,200,HOT,716,
1089-134686-0013.flac,7.915,1895.1339721679688,200,HOT,594,
1089-134686-0014.flac,2.225,1504.317283630371,200,HOT,345,
1089-134686-0015.flac,5.815,1626.5487670898438,200,HOT,710,
1089-134686-0016.flac,3.54,2003.5851001739502,200,HOT,439,
1089-134686-0017.flac,8.87,2282.71222114563,200,HOT,654,
1089-134686-0018.flac,15.72,2161.9694232940674,200,HOT,914,
1089-134686-0019.flac,13.895,3001.162528991699,200,HOT,867,
1089-134686-0020.flac,16.79,2443.3932304382324,200,HOT,975,
1089-134686-0021.flac,6.55,2848.552465438843,200,HOT,530,
1089-134686-0022.flac,11.175,2576.7107009887695,200,HOT,973,
1089-134686-0023.flac,13.275,2728.6319732666016,200,HOT,1041,
1089-134686-0024.flac,11.655,3337.235689163208,200,HOT,957,
1089-134686-0025.flac,6.61,3565.6158924102783,200,HOT,524,
1089-134686-0026.flac,4.01,3107.1035861968994,200,HOT,438,
1089-134686-0027.flac,2.71,3208.3706855773926,200,HOT,381,
1089-134686-0028.flac,7.83,3673.2120513916016,200,HOT,555,
1089-134686-0029.flac,4.67,3449.6243000030518,200,HOT,436,
1089-134686-0030.flac,2.715,3767.4970626831055,200,HOT,336,
